LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80
221201298;25000;Products;35;-1;-1;-1;65;65;-1;-1
227001258;44349,03;Products;52;-1;-1;-1;-1;52;52;-1
230000396;4413,66;Products;58;-1;-1;-1;58;-1;58;-1
231039635;100000;Systems & Services;2;-1;-1;-1;-1;71;71;-1
231039642;2000;Products;2;-1;-1;-1;-1;-1;-1;-1
231039646;45000;Products;2;-1;-1;-1;-1;2;2;-1
231039650;22795,54;Products;2;-1;-1;-1;-1;-1;-1;-1
231039653;18000;Products;2;-1;-1;-1;2;2;-1;-1
231039658;1000000;Systems & Services;2;-1;-1;-1;2;2;-1;-1
231039662;30000;Products;2;-1;-1;-1;-1;2;2;-1
231039670;7500;Products;2;-1;-1;-1;-1;-1;-1;-1
231039673;50000;Products;2;-1;-1;-1;2;2;-1;-1
231039685;50000;Products;2;-1;-1;-1;-1;-1;-1;-1
231039691;1500000;Products;2;-1;-1;-1;-1;2;2;-1
231039692;7500;Products;2;-1;-1;-1;2;2;-1;-1
231039696;30000;Products;2;-1;-1;-1;-1;-1;-1;-1
231039704;40000;Products;2;-1;-1;-1;2;2;-1;-1
231039717;30000;Systems & Services;3;-1;-1;-1;-1;-1;-1;-1
231039725;16759;Products;3;-1;-1;-1;-1;-1;-1;-1
231039733;9481;Products;3;-1;-1;-1;-1;3;3;-1
231039739;6908;Products;3;-1;-1;-1;3;-1;3;-1
231039740;150000;Systems & Services;3;-1;-1;-1;-1;-1;-1;-1
231039748;9350;Products;3;-1;-1;-1;-1;-1;-1;-1
231039752;150000;Products;3;-1;-1;-1;49;49;-1;-1
231039757;170000;Products;3;-1;-1;-1;-1;-1;-1;-1
231039759;20000;Products;3;-1;-1;-1;-1;3;3;-1
231039761;200000;Products;3;-1;-1;-1;3;3;-1;-1
231039765;8000;Products;3;-1;-1;-1;-1;-1;-1;-1
231039774;127800;Products;3;-1;-1;-1;-1;-1;-1;-1
231039778;3000;Products;3;-1;-1;-1;-1;-1;-1;-1
231039789;2175;Products;4;-1;-1;-1;4;-1;4;-1
231039791;55000;Products;4;-1;-1;-1;52;10;10;10
231039802;11018,78;Products;4;-1;-1;-1;4;4;45;62
231039816;70500;Products;4;-1;-1;-1;-1;-1;-1;-1
231039821;2300;Products;4;-1;-1;-1;-1;-1;-1;-1
231039828;10000;Products;4;-1;-1;-1;-1;-1;-1;-1
231039845;17250;Products;4;-1;-1;-1;-1;11;4;4
231039855;300000;Products;5;-1;-1;-1;39;39;-1;-1
231039860;50000;Products;5;-1;-1;-1;-1;5;5;-1
231039879;20000;Products;5;-1;-1;-1;-1;5;5;-1
231039890;36000;Products;5;-1;-1;-1;-1;-1;-1;-1
231039895;4480;Products;5;-1;-1;-1;-1;5;5;-1
231039904;27400;Products;5;-1;-1;-1;-1;5;5;-1
231039907;3827;Products;5;-1;-1;-1;-1;-1;-1;-1
231039912;35000;Products;5;-1;-1;-1;-1;-1;-1;-1
231039936;0;Systems & Services;6;-1;-1;-1;29;29;-1;-1
231039938;40000;Products;6;-1;-1;-1;-1;-1;-1;-1
231039942;100000;Systems & Services;6;-1;-1;-1;-1;6;6;-1
231039945;8000;Systems & Services;6;-1;-1;-1;-1;-1;-1;-1
231039954;5000;Products;6;-1;-1;-1;-1;6;6;-1
231039959;100000;Systems & Services;6;-1;-1;-1;-1;-1;-1;-1
231039965;25000;Systems & Services;6;-1;-1;-1;-1;-1;-1;-1
231039967;1000000;Systems & Services;6;-1;-1;-1;65;65;-1;-1
231039977;10000;Systems & Services;6;-1;-1;-1;-1;-1;-1;-1
231039984;49328;Products;6;-1;-1;-1;6;-1;6;-1
231039989;6262;Products;6;-1;-1;-1;32;6;6;-1
231039992;89000;Products;6;-1;-1;-1;-1;13;13;59
231039993;5000;Products;6;-1;-1;-1;-1;6;6;-1
231039999;215284,19;Systems & Services;6;-1;-1;-1;-1;11;11;-1
231040006;12964;Products;6;-1;-1;-1;52;33;33;-1
231040007;13749;Products;6;-1;-1;-1;-1;6;6;-1
231040009;25000;Products;6;-1;-1;-1;49;49;-1;-1
231040011;50000;Products;6;-1;-1;-1;65;65;-1;-1
231040014;33000;Products;7;-1;-1;-1;7;7;14;29
231040018;1268;Products;7;-1;-1;-1;-1;-1;-1;-1
231040019;35000;Products;7;-1;-1;-1;-1;7;7;-1
231040042;23711;Products;7;-1;-1;-1;7;7;13;-1
231040045;20609;Systems & Services;7;-1;-1;-1;7;7;26;7
231040052;160000;Products;7;-1;-1;-1;-1;-1;-1;-1
