LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80;CertaintyForConv;ConvertedLead
207009208;2500;Products;8;27;27;-1;27;8;-1;8;0;0
207009215;34582;Products;9;48;-1;48;-1;-1;24;24;0.8;1
207009835;40646.77;Products;30;56;-1;56;-1;-1;56;-1;0.4;1
207010639;2000;Systems & Services;59;59;59;-1;59;59;-1;59;0.8;0
207010811;1522;Products;65;65;-1;65;-1;-1;65;65;0.8;1
227000834;10000;Systems & Services;3;3;3;-1;3;3;-1;-1;0.2;0
227001012;3892.71;Products;21;21;-1;21;-1;21;21;-1;0.4;1
227001112;80000;Products;31;44;-1;44;31;-1;31;-1;0.4;1
227001150;2743.47;Products;35;41;-1;41;-1;-1;39;39;0.8;1
227001152;1795.47;Products;36;41;41;-1;41;-1;41;-1;0.4;0
230000280;6500;Products;3;3;-1;3;-1;-1;-1;3;0.8;1
230000300;2000;Products;8;9;-1;9;-1;-1;9;-1;0.4;1
230000302;5664;Products;9;16;16;-1;16;-1;9;9;0;0
230000306;15103.34;Products;12;16;-1;16;12;-1;12;-1;0.4;1
230000307;3680;Products;12;16;-1;16;12;15;12;-1;0.2;1
230000314;6466.05;Products;14;20;-1;20;14;-1;14;-1;0.4;1
230000336;11978;Products;23;40;-1;40;-1;23;23;-1;0.4;1
230000346;5444.71;Products;29;43;-1;43;-1;-1;43;-1;0.4;1
230000349;1819.15;Products;31;32;-1;32;-1;31;31;-1;0.4;1
230000355;48835;Products;33;42;42;-1;42;-1;37;37;0;0
230000397;734;Products;58;58;-1;58;-1;-1;58;58;0.8;1
230000414;3314.96;Products;63;63;-1;63;-1;-1;63;63;0.8;1
230000436;13199.27;Products;65;65;-1;65;-1;65;65;-1;0.4;1
231039633;128900;Products;2;19;-1;19;-1;19;-1;-1;0.2;1
231039634;35000;Products;2;42;42;-1;42;42;-1;-1;0.2;0
231039636;50000;Products;2;44;44;-1;44;44;-1;-1;0.2;0
231039637;45000;Products;2;15;-1;15;-1;2;2;-1;0.4;1
231039638;10000;Systems & Services;2;20;-1;20;-1;2;2;-1;0.4;1
231039639;25000;Products;2;36;-1;36;-1;2;2;-1;0.4;1
231039640;13750;Systems & Services;2;5;-1;5;-1;-1;-1;5;0.8;1
231039641;50000;Products;2;47;47;-1;2;-1;2;-1;0.4;0
231039643;2000;Products;2;2;-1;2;-1;2;-1;-1;0.2;1
231039644;21000;Products;2;22;22;-1;2;2;-1;-1;0.2;0
231039645;10000;Products;2;2;2;-1;2;-1;2;-1;0.4;0
231039647;20000;Products;2;47;47;-1;47;47;-1;-1;0.2;0
231039648;100000;Products;2;15;15;-1;15;2;2;-1;0;0
231039649;8000;Products;2;23;23;-1;23;23;-1;-1;0.2;0
231039651;35000;Products;2;53;53;-1;53;53;-1;-1;0.2;0
231039652;60000;Products;2;31;31;-1;31;-1;31;-1;0.4;0
231039654;13500;Products;2;2;-1;2;-1;2;2;-1;0.4;1
231039656;19000;Products;2;30;-1;30;-1;2;2;-1;0.4;1
231039657;5318;Products;2;9;-1;9;-1;2;2;-1;0.4;1
231039659;20000;Systems & Services;2;45;45;-1;2;-1;2;-1;0.4;0
231039660;10000;Products;2;42;-1;42;2;2;-1;-1;0.2;1
231039661;1500;Products;2;25;-1;25;-1;2;2;-1;0.4;1
231039663;12000;Products;2;19;-1;19;2;2;-1;-1;0.2;1
231039664;100000;Systems & Services;2;65;65;-1;2;2;-1;-1;0.2;0
231039665;80000;Products;2;2;2;-1;2;-1;2;-1;0.4;0
231039666;30000;Products;2;2;2;-1;2;-1;2;-1;0.4;0
231039667;30000;Products;2;14;-1;14;-1;14;-1;-1;0.2;1
231039668;750;Products;2;17;-1;17;-1;2;2;-1;0.4;1
231039669;8765;Products;2;17;-1;17;-1;2;2;-1;0.4;1
