LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80;CertaintyForConv;ConvertedLead
207009208;0.005376344086021506;Products;8;27;27;-1;27;8;-1;8;0.0;0
207009215;0.12036559139784946;Products;9;48;-1;48;-1;-1;24;24;0.8;1
207009835;0.14210311827956987;Products;30;56;-1;56;-1;-1;56;-1;0.4;1
207010639;0.0035842293906810036;Systems & Services;59;59;59;-1;59;59;-1;59;0.8;0
207010811;0.0018709677419354838;Products;65;65;-1;65;-1;-1;65;65;0.8;1
227000834;0.03225806451612903;Systems & Services;3;3;3;-1;3;3;-1;-1;0.2;0
227001012;0.010368136200716846;Products;21;21;-1;21;-1;21;21;-1;0.4;1
227001112;0.2831541218637993;Products;31;44;-1;44;31;-1;31;-1;0.4;1
227001150;0.006248996415770609;Products;35;41;-1;41;-1;-1;39;39;0.8;1
227001152;0.002851146953405018;Products;36;41;41;-1;41;-1;41;-1;0.4;0
230000280;0.01971326164874552;Products;3;3;-1;3;-1;-1;-1;3;0.8;1
230000300;0.0035842293906810036;Products;8;9;-1;9;-1;-1;9;-1;0.4;1
230000302;0.0167168458781362;Products;9;16;16;-1;16;-1;9;9;0.0;0
230000306;0.05054960573476702;Products;12;16;-1;16;12;-1;12;-1;0.4;1
230000307;0.00960573476702509;Products;12;16;-1;16;12;15;12;-1;0.2;1
230000314;0.0195915770609319;Products;14;20;-1;20;14;-1;14;-1;0.4;1
230000336;0.039347670250896055;Products;23;40;-1;40;-1;23;23;-1;0.4;1
230000346;0.015930860215053765;Products;29;43;-1;43;-1;-1;43;-1;0.4;1
230000349;0.0029360215053763445;Products;31;32;-1;32;-1;31;31;-1;0.4;1
230000355;0.1714516129032258;Products;33;42;42;-1;42;-1;37;37;0.0;0
230000397;0.0;Products;58;58;-1;58;-1;-1;58;58;0.8;1
230000414;0.008297347670250897;Products;63;63;-1;63;-1;-1;63;63;0.8;1
230000436;0.04372498207885305;Products;65;65;-1;65;-1;65;65;-1;0.4;1
231039633;0.45842293906810033;Products;2;19;-1;19;-1;19;-1;-1;0.2;1
231039634;0.12186379928315412;Products;2;42;42;-1;42;42;-1;-1;0.2;0
231039636;0.17562724014336917;Products;2;44;44;-1;44;44;-1;-1;0.2;0
231039637;0.15770609318996415;Products;2;15;-1;15;-1;2;2;-1;0.4;1
231039638;0.03225806451612903;Systems & Services;2;20;-1;20;-1;2;2;-1;0.4;1
231039639;0.08602150537634409;Products;2;36;-1;36;-1;2;2;-1;0.4;1
231039640;0.0456989247311828;Systems & Services;2;5;-1;5;-1;-1;-1;5;0.8;1
231039641;0.17562724014336917;Products;2;47;47;-1;2;-1;2;-1;0.4;0
231039643;0.0035842293906810036;Products;2;2;-1;2;-1;2;-1;-1;0.2;1
231039644;0.07168458781362007;Products;2;22;22;-1;2;2;-1;-1;0.2;0
231039645;0.03225806451612903;Products;2;2;2;-1;2;-1;2;-1;0.4;0
231039647;0.06810035842293907;Products;2;47;47;-1;47;47;-1;-1;0.2;0
