step;CLsAvg;CLsStd;CLsMin;CLsMax;CLsByMagAvg;CLsByMagStd;CLsByMagMin;CLsByMagMax;FLsAvg;FLsStd;FLsMin;FLsMax;PayAvg;PayStd;PayMin;PayMax;PeopleWorkExtraAvg;PeopleWorkExtraStd;PeopleWorkExtraMin;PeopleWorkExtraMax;PeopleWithBonusAvg;PeopleWithBonusStd;PeopleWithBonusMin;PeopleWithBonusMax;ExpectedCLsAvg;ExpectedCLsStd;ExpectedCLsMin;ExpectedCLsMax;ExpectedFLsAvg;ExpectedFLsStd;ExpectedFLsMin;ExpectedFLsMax;
0;284.6667;10.2867;262.0000;303.0000;22.9679;3.6937;16.6291;31.8653;164.0333;9.7821;143.0000;186.0000;4.5936;0.7387;3.3258;6.3731;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;334.3000;11.1700;315.0000;363.0000;114.4000;9.9952;93.0000;131.0000;
1;690.2333;16.3785;647.0000;718.0000;53.5820;3.6955;45.9255;63.7110;353.0333;15.4774;317.0000;378.0000;6.1228;0.4516;5.0187;6.8562;112.6667;4.1633;105.0000;124.0000;0.0000;0.0000;0.0000;0.0000;721.8000;16.4493;687.0000;760.0000;321.4667;15.8935;284.0000;363.0000;
2;1083.9667;21.4355;1028.0000;1123.0000;84.1901;4.9874;71.5563;96.5276;543.7000;22.1315;491.0000;594.0000;6.1216;0.6819;4.8351;7.3716;110.3000;4.2762;101.0000;117.0000;0.0000;0.0000;0.0000;0.0000;1104.7667;17.6375;1056.0000;1135.0000;522.9000;17.4876;480.0000;550.0000;
3;1478.8667;24.0355;1432.0000;1527.0000;115.0186;5.2044;106.1813;130.6665;737.0000;22.4146;684.0000;786.0000;6.1657;0.5553;5.0672;7.4772;111.2000;4.4053;103.0000;120.0000;0.0000;0.0000;0.0000;0.0000;1487.3334;18.1893;1453.0000;1522.0000;728.5333;17.4133;695.0000;756.0000;
4;1874.9000;28.1110;1813.0000;1937.0000;145.6732;5.8418;135.6075;156.8237;925.3666;25.5066;867.0000;973.0000;6.1309;0.5000;5.2315;7.1599;111.0333;4.7306;102.0000;119.0000;0.0000;0.0000;0.0000;0.0000;1874.7000;25.8112;1824.0000;1932.0000;925.5667;22.1541;878.0000;978.0000;
5;2268.3999;33.2230;2195.0000;2328.0000;176.7267;7.0173;167.3474;189.4776;1116.5667;28.6858;1061.0000;1166.0000;6.2107;0.5454;4.9716;7.2056;109.9333;4.1517;102.0000;117.0000;0.0000;0.0000;0.0000;0.0000;2262.7666;30.6995;2195.0000;2317.0000;1122.2000;24.3670;1072.0000;1179.0000;
6;2663.0334;35.9401;2596.0000;2735.0000;207.6444;7.8725;194.8792;226.9168;1305.5000;29.8926;1244.0000;1356.0000;6.1835;0.6905;4.6470;7.4878;111.0667;3.5030;106.0000;119.0000;0.0000;0.0000;0.0000;0.0000;2647.1667;35.0488;2564.0000;2713.0000;1321.3667;26.6710;1259.0000;1368.0000;
7;3058.3333;39.5774;2984.0000;3120.0000;238.6151;8.8132;224.3370;256.9693;1494.7667;30.0995;1432.0000;1544.0000;6.1941;0.6319;5.2791;7.7695;110.4667;5.8824;96.0000;121.0000;0.0000;0.0000;0.0000;0.0000;3030.8667;37.7540;2939.0000;3103.0000;1522.2333;30.2492;1458.0000;1577.0000;
8;3450.1667;40.5829;3374.0000;3515.0000;270.0877;9.1825;254.0180;290.9934;1683.1666;31.4720;1631.0000;1744.0000;6.2945;0.6170;5.0584;7.8955;110.7667;4.6660;104.0000;122.0000;0.0000;0.0000;0.0000;0.0000;3415.3333;42.1658;3328.0000;3495.0000;1718.0000;31.1116;1658.0000;1784.0000;
9;3842.8333;43.1382;3754.0000;3912.0000;301.6124;8.4029;288.2324;317.9895;1875.6000;36.0197;1811.0000;1954.0000;6.3049;0.6256;5.2655;7.8538;111.6333;4.9304;98.0000;119.0000;0.0000;0.0000;0.0000;0.0000;3797.6667;40.9948;3719.0000;3876.0000;1920.7667;32.1437;1858.0000;1989.0000;
