=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;HIGHEST_EXPECTED_VALUE;0.1;171.0;332.0;186.0;35.653835;7.1307683;347.0
1;1.0;HIGHEST_EXPECTED_VALUE;0.1;181.0;348.0;191.0;34.506474;6.9012957;358.0
2;1.0;HIGHEST_EXPECTED_VALUE;0.1;158.0;307.0;174.0;31.505075;6.3010135;323.0
3;1.0;HIGHEST_EXPECTED_VALUE;0.1;175.0;359.0;158.0;37.494495;7.4988985;342.0
4;1.0;HIGHEST_EXPECTED_VALUE;0.1;173.0;351.0;166.0;31.916685;6.383337;344.0
5;1.0;HIGHEST_EXPECTED_VALUE;0.1;166.0;310.0;182.0;34.678383;6.935676;326.0
6;1.0;HIGHEST_EXPECTED_VALUE;0.1;180.0;308.0;172.0;34.769405;6.9538784;300.0
7;1.0;HIGHEST_EXPECTED_VALUE;0.1;167.0;315.0;187.0;35.005276;7.0010557;335.0
8;1.0;HIGHEST_EXPECTED_VALUE;0.1;161.0;318.0;180.0;30.711761;6.1423516;337.0
9;1.0;HIGHEST_EXPECTED_VALUE;0.1;170.0;334.0;169.0;40.9552;8.191039;333.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;HIGHEST_EXPECTED_VALUE;0.1;169.0;329.0;184.0;35.4119;7.0823812;344.0
1;1.0;HIGHEST_EXPECTED_VALUE;0.1;178.0;342.0;187.0;34.14088;6.8281775;351.0
2;1.0;HIGHEST_EXPECTED_VALUE;0.1;155.0;299.0;173.0;31.087767;6.2175517;317.0
3;1.0;HIGHEST_EXPECTED_VALUE;0.1;172.0;353.0;153.0;36.91385;7.3827696;334.0
4;1.0;HIGHEST_EXPECTED_VALUE;0.1;170.0;343.0;165.0;31.469086;6.2938175;338.0
5;1.0;HIGHEST_EXPECTED_VALUE;0.1;162.0;301.0;178.0;33.832504;6.7665005;317.0
6;1.0;HIGHEST_EXPECTED_VALUE;0.1;178.0;305.0;167.0;34.507755;6.901549;294.0
7;1.0;HIGHEST_EXPECTED_VALUE;0.1;164.0;310.0;183.0;33.81531;6.763063;329.0
8;1.0;HIGHEST_EXPECTED_VALUE;0.1;157.0;314.0;176.0;29.61537;5.9230733;333.0
9;1.0;HIGHEST_EXPECTED_VALUE;0.1;168.0;331.0;167.0;40.847706;8.16954;330.0

0;0;HIGHEST_EXPECTED_VALUE;[];[]
0;1;HIGHEST_EXPECTED_VALUE;[];[]
0;2;HIGHEST_EXPECTED_VALUE;[];[]
0;3;HIGHEST_EXPECTED_VALUE;[];[]
0;4;HIGHEST_EXPECTED_VALUE;[];[]
0;5;HIGHEST_EXPECTED_VALUE;[];[]
0;6;HIGHEST_EXPECTED_VALUE;[];[]
0;7;HIGHEST_EXPECTED_VALUE;[];[]
0;8;HIGHEST_EXPECTED_VALUE;[];[]
0;9;HIGHEST_EXPECTED_VALUE;[];[]
1;0;HIGHEST_EXPECTED_VALUE;[];[]
1;1;HIGHEST_EXPECTED_VALUE;[];[]
1;2;HIGHEST_EXPECTED_VALUE;[];[]
1;3;HIGHEST_EXPECTED_VALUE;[];[]
1;4;HIGHEST_EXPECTED_VALUE;[];[]
1;5;HIGHEST_EXPECTED_VALUE;[];[]
1;6;HIGHEST_EXPECTED_VALUE;[];[]
1;7;HIGHEST_EXPECTED_VALUE;[];[]
1;8;HIGHEST_EXPECTED_VALUE;[];[]
1;9;HIGHEST_EXPECTED_VALUE;[];[]
2;0;HIGHEST_EXPECTED_VALUE;[(232027543,0.1567),(231040010,0.1407),(231041995,0.0884),(232031977,0.0834),(231039987,0.0543),(231045396,0.0563),(231039819,0.0541),(231039824,0.0499),(231040638,0.0520),(235812574,0.0386),(231043889,0.0427),(231040681,0.0313),(231041097,0.0337),(232029890,0.0349),(231043709,0.0286),(232027956,0.0264),(231042816,0.0267),(231044693,0.0243),(231042743,0.0270),(232028209,0.0248),(231042939,0.0252),(231041195,0.0261),(232027943,0.0215),(232028597,0.0215),(232031010,0.0218),(232027735,0.0172),(231045676,0.0154),(231041766,0.0161),(231040424,0.0169),(231045286,0.0151),(231045824,0.0148),(232027732,0.0170),(231044853,0.0146),(231039649,0.0129),(231043457,0.0072),(232027839,0.0070),(231043625,0.0064),(231044191,0.0069),(232030417,0.0071),(232028957,0.0040),(232027517,0.0032),(232031478,0.0028),(232029307,0.0025),(232032026,0.0024),(232029081,0.0020),(232032619,0.0018),(232032128,0.0014),(232030955,0.0013),(245017789,0.0008),(232031258,0.0007)];[(232027543,0.1567),(231040010,0.1407),(231041995,0.0884),(232031977,0.0834),(231039987,0.0543)]
2;1;HIGHEST_EXPECTED_VALUE;[(232027983,0.1493),(231040710,0.1199),(231043383,0.1008),(232030001,0.0716),(231040418,0.0744),(232027902,0.0584),(232029311,0.0576),(231044304,0.0488),(231040417,0.0432),(231043942,0.0418),(231039814,0.0386),(232029008,0.0456),(231042643,0.0380),(231043569,0.0342),(232028122,0.0315),(231039818,0.0305),(232028600,0.0335),(231040731,0.0353),(231044368,0.0299),(231042882,0.0307),(231039677,0.0267),(231043375,0.0245),(231041587,0.0224),(244074896,0.0210),(231043676,0.0225),(232027464,0.0200),(232028235,0.0163),(232030897,0.0166),(231043651,0.0166),(232027947,0.0147),(232028732,0.0172),(231040168,0.0158),(232027720,0.0141),(231040613,0.0120),(231042246,0.0096),(232031857,0.0095),(232030249,0.0091),(231039657,0.0081),(231042701,0.0072),(232029430,0.0014),(232027804,0.0010),(233073781,0.0008),(232029922,0.0005),(232027933,0.0004),(231041477,0.0000),(232030489,0.0000),(232031061,0.0000),(400007465,0.0000),(400002480,0.0000),(232031932,0.0000)];[(232027983,0.1493),(231040710,0.1199),(231043383,0.1008),(232030001,0.0716),(231040418,0.0744)]
2;2;HIGHEST_EXPECTED_VALUE;[(231045725,0.1936),(231042182,0.1839),(232029304,0.0906),(231041006,0.0791),(232027622,0.0865),(232032287,0.0561),(231042235,0.0597),(231039796,0.0594),(232029463,0.0495),(232027907,0.0485),(231041322,0.0450),(232027922,0.0407),(231040928,0.0459),(231043650,0.0344),(232031912,0.0314),(231040341,0.0334),(231045469,0.0338),(231041827,0.0267),(231039679,0.0260),(231041736,0.0232),(231041825,0.0267),(231039961,0.0256),(231041756,0.0253),(231041587,0.0233),(231045713,0.0184),(231039708,0.0168),(232027553,0.0167),(231040889,0.0106),(232028397,0.0107),(231040529,0.0105),(232032088,0.0089),(232027534,0.0072),(232028277,0.0072),(232031229,0.0054),(231044912,0.0057),(231040533,0.0054),(231041387,0.0048),(231043534,0.0046),(231041290,0.0044),(232028364,0.0036),(232029106,0.0028),(232029987,0.0031),(232030841,0.0028),(231040027,0.0025),(231039859,0.0026),(235812472,0.0017),(232030236,0.0010),(232028649,0.0009),(232028445,0.0000),(232032166,0.0000)];[(231045725,0.1936),(231042182,0.1839),(232029304,0.0906),(231041006,0.0791),(232027622,0.0865)]
2;3;HIGHEST_EXPECTED_VALUE;[(232029019,0.4435),(231043498,0.3442),(231041652,0.2222),(231044079,0.0972),(231041266,0.0959),(231040093,0.0895),(232028318,0.0890),(231043363,0.0916),(232028871,0.0798),(231040999,0.0814),(232029841,0.0763),(231042102,0.0635),(231040942,0.0552),(231040127,0.0477),(231041425,0.0452),(232028777,0.0384),(231039647,0.0336),(232029392,0.0302),(232031297,0.0318),(231042845,0.0257),(231040276,0.0245),(232029469,0.0237),(231042208,0.0184),(232030261,0.0209),(232030544,0.0154),(232027836,0.0148),(232028113,0.0157),(231041371,0.0144),(232030246,0.0155),(232028162,0.0165),(231041786,0.0116),(231041936,0.0113),(232028774,0.0110),(242003284,0.0091),(232030650,0.0094),(232028698,0.0082),(231042051,0.0079),(231042564,0.0042),(232027706,0.0034),(232027475,0.0031),(232028755,0.0031),(232029657,0.0027),(232029665,0.0022),(232030405,0.0025),(244075558,0.0019),(231045228,0.0016),(231042793,0.0019),(231041284,0.0011),(248019583,0.0010),(231045078,0.0000)];[(232029019,0.4435),(231043498,0.3442),(231041652,0.2222),(231044079,0.0972),(231041266,0.0959)]
2;4;HIGHEST_EXPECTED_VALUE;[(231042976,0.1851),(231041728,0.1360),(231040483,0.0985),(231041368,0.0910),(232029015,0.0905),(231040995,0.0846),(231042055,0.0927),(232029756,0.0739),(400003916,0.0779),(231043825,0.0700),(231039862,0.0647),(231045003,0.0538),(231043261,0.0497),(231040397,0.0464),(261001943,0.0476),(231040573,0.0483),(231041895,0.0444),(297103695,0.0393),(400002597,0.0358),(297102602,0.0301),(232030386,0.0275),(265000952,0.0272),(231039961,0.0230),(231043882,0.0223),(232030883,0.0258),(232029070,0.0198),(232029225,0.0146),(231043678,0.0166),(232027649,0.0155),(232029131,0.0159),(231042509,0.0145),(232029533,0.0144),(232029064,0.0136),(232028317,0.0138),(232031232,0.0119),(231041053,0.0084),(232029656,0.0076),(232029564,0.0072),(232029189,0.0064),(232030541,0.0068),(232029294,0.0063),(232030648,0.0060),(231040372,0.0045),(231039766,0.0048),(232032203,0.0032),(232030721,0.0024),(230000349,0.0014),(232030018,0.0014),(232029001,0.0011),(230000397,0.0000)];[(231042976,0.1851),(231041728,0.1360),(231040483,0.0985),(231041368,0.0910),(232029015,0.0905)]
2;5;HIGHEST_EXPECTED_VALUE;[(231043925,0.4391),(232029120,0.2675),(232031097,0.2396),(231043326,0.1382),(231039944,0.1202),(231040665,0.0994),(231041989,0.0774),(231042031,0.0911),(231040811,0.0907),(232028178,0.0571),(231042333,0.0500),(231044982,0.0551),(231042126,0.0526),(231040186,0.0463),(232029058,0.0443),(231041614,0.0415),(232029367,0.0370),(232028776,0.0345),(231041568,0.0329),(232031943,0.0265),(232031717,0.0229),(231044817,0.0261),(231044482,0.0232),(231042714,0.0229),(231040852,0.0229),(232029734,0.0213),(261001883,0.0187),(231040051,0.0165),(232029731,0.0150),(231041782,0.0152),(231041371,0.0148),(232029979,0.0170),(231040049,0.0165),(231043886,0.0148),(232028916,0.0162),(232031105,0.0136),(232029370,0.0122),(232028310,0.0101),(231044388,0.0083),(233080125,0.0074),(232027474,0.0054),(231041642,0.0043),(230000414,0.0040),(232030318,0.0040),(400003322,0.0036),(232029664,0.0031),(400000284,0.0024),(232031239,0.0022),(232032619,0.0015),(232030690,0.0000)];[(231043925,0.4391),(232029120,0.2675),(232031097,0.2396),(231043326,0.1382),(231039944,0.1202)]
