=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;HIGHEST_CONVERSION_PROB;0.2;156.0;323.0;190.0;6.516448;1.3032898;357.0
1;1.0;HIGHEST_CONVERSION_PROB;0.2;169.0;312.0;173.0;7.2430344;1.4486068;316.0
2;1.0;HIGHEST_CONVERSION_PROB;0.2;159.0;308.0;166.0;8.379337;1.675867;315.0
3;1.0;HIGHEST_CONVERSION_PROB;0.2;168.0;324.0;179.0;7.1215234;1.4243046;335.0
4;1.0;HIGHEST_CONVERSION_PROB;0.2;162.0;326.0;165.0;7.920241;1.584048;329.0
5;1.0;HIGHEST_CONVERSION_PROB;0.2;164.0;327.0;149.0;6.4364486;1.2872896;312.0
6;1.0;HIGHEST_CONVERSION_PROB;0.2;177.0;346.0;170.0;8.319878;1.6639751;339.0
7;1.0;HIGHEST_CONVERSION_PROB;0.2;176.0;316.0;172.0;7.488527;1.4977055;312.0
8;1.0;HIGHEST_CONVERSION_PROB;0.2;165.0;295.0;161.0;8.224612;1.6449226;291.0
9;1.0;HIGHEST_CONVERSION_PROB;0.2;166.0;334.0;154.0;7.229451;1.4458904;322.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;HIGHEST_CONVERSION_PROB;0.2;156.0;323.0;190.0;6.516448;1.3032898;357.0
1;1.0;HIGHEST_CONVERSION_PROB;0.2;165.0;308.0;168.0;7.005301;1.4010601;311.0
2;1.0;HIGHEST_CONVERSION_PROB;0.2;157.0;301.0;162.0;8.307652;1.66153;306.0
3;1.0;HIGHEST_CONVERSION_PROB;0.2;168.0;324.0;179.0;7.1215234;1.4243046;335.0
4;1.0;HIGHEST_CONVERSION_PROB;0.2;159.0;323.0;163.0;7.7697034;1.5539405;327.0
5;1.0;HIGHEST_CONVERSION_PROB;0.2;164.0;327.0;149.0;6.4364486;1.2872896;312.0
6;1.0;HIGHEST_CONVERSION_PROB;0.2;177.0;346.0;170.0;8.319878;1.6639751;339.0
7;1.0;HIGHEST_CONVERSION_PROB;0.2;171.0;312.0;167.0;7.051251;1.4102503;308.0
8;1.0;HIGHEST_CONVERSION_PROB;0.2;164.0;292.0;160.0;8.220438;1.6440878;288.0
9;1.0;HIGHEST_CONVERSION_PROB;0.2;166.0;334.0;154.0;7.229451;1.4458904;322.0

0;0;HIGHEST_CONVERSION_PROB;[];[]
0;1;HIGHEST_CONVERSION_PROB;[];[]
0;2;HIGHEST_CONVERSION_PROB;[];[]
0;3;HIGHEST_CONVERSION_PROB;[];[]
0;4;HIGHEST_CONVERSION_PROB;[];[]
0;5;HIGHEST_CONVERSION_PROB;[];[]
0;6;HIGHEST_CONVERSION_PROB;[];[]
0;7;HIGHEST_CONVERSION_PROB;[];[]
0;8;HIGHEST_CONVERSION_PROB;[];[]
0;9;HIGHEST_CONVERSION_PROB;[];[]
1;0;HIGHEST_CONVERSION_PROB;[(400005804,0.4531),(232028508,0.3910),(231043401,0.5700),(232028784,0.4534),(232028456,0.5321),(232030551,0.5864),(232027751,0.5183),(232028019,0.5318),(231042957,0.5210),(231041798,0.4914),(232032553,0.4380),(232029126,0.5376),(286019645,0.5567),(232031690,0.5445),(231043546,0.4220),(232028200,0.5712),(232027718,0.4162),(231040476,0.5614),(232028820,0.3956),(232028596,0.5373),(231039831,0.5662),(231039783,0.4753),(232029957,0.5419),(231039804,0.5536),(232031283,0.4601),(232028022,0.4437),(231042071,0.4607),(231041669,0.4168),(232029402,0.5124),(232030049,0.5409),(231045543,0.5268),(232030217,0.5208),(231043022,0.3944),(232028098,0.4121),(231042341,0.4042),(232031850,0.5747),(232029886,0.4932),(232028349,0.4343),(231042687,0.4412),(231040347,0.4001),(231041340,0.4155),(231042688,0.5148),(231040922,0.4489),(231040987,0.5047),(231043959,0.5002),(231040551,0.4638),(231041886,0.4118),(231045778,0.4749),(231043995,0.4028)];[(400005804,0.4531),(232028508,0.4018),(231043401,0.5700),(232028784,0.4534),(232028456,0.5321)]
1;1;HIGHEST_CONVERSION_PROB;[];[]
