=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;LARGEST_MAGNITUDE;0.1;171.0;353.0;188.0;42.022923;8.404581;370.0
1;1.0;LARGEST_MAGNITUDE;0.1;182.0;310.0;169.0;31.290525;6.258105;297.0
2;1.0;LARGEST_MAGNITUDE;0.1;182.0;337.0;193.0;41.01934;8.203868;348.0
3;1.0;LARGEST_MAGNITUDE;0.1;166.0;342.0;160.0;36.758953;7.351791;336.0
4;1.0;LARGEST_MAGNITUDE;0.1;174.0;344.0;179.0;32.21055;6.442109;349.0
5;1.0;LARGEST_MAGNITUDE;0.1;180.0;332.0;165.0;31.912153;6.3824296;317.0
6;1.0;LARGEST_MAGNITUDE;0.1;171.0;312.0;157.0;28.703922;5.7407837;298.0
7;1.0;LARGEST_MAGNITUDE;0.1;180.0;354.0;206.0;34.357754;6.8715506;380.0
8;1.0;LARGEST_MAGNITUDE;0.1;164.0;325.0;168.0;34.933598;6.986722;329.0
9;1.0;LARGEST_MAGNITUDE;0.1;162.0;327.0;157.0;31.197224;6.2394443;322.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;LARGEST_MAGNITUDE;0.1;168.0;346.0;186.0;41.69622;8.339241;364.0
1;1.0;LARGEST_MAGNITUDE;0.1;179.0;303.0;165.0;30.233692;6.046738;289.0
2;1.0;LARGEST_MAGNITUDE;0.1;180.0;333.0;191.0;40.745323;8.149064;344.0
3;1.0;LARGEST_MAGNITUDE;0.1;166.0;341.0;158.0;36.758953;7.351791;333.0
4;1.0;LARGEST_MAGNITUDE;0.1;170.0;339.0;177.0;31.794777;6.358955;346.0
5;1.0;LARGEST_MAGNITUDE;0.1;178.0;328.0;164.0;31.686346;6.3372684;314.0
6;1.0;LARGEST_MAGNITUDE;0.1;169.0;308.0;155.0;28.632238;5.7264466;294.0
7;1.0;LARGEST_MAGNITUDE;0.1;175.0;346.0;201.0;32.875034;6.5750065;372.0
8;1.0;LARGEST_MAGNITUDE;0.1;160.0;319.0;163.0;34.618187;6.92364;322.0
9;1.0;LARGEST_MAGNITUDE;0.1;160.0;326.0;151.0;30.971416;6.194283;317.0

0;0;LARGEST_MAGNITUDE;[];[]
0;1;LARGEST_MAGNITUDE;[];[]
0;2;LARGEST_MAGNITUDE;[];[]
0;3;LARGEST_MAGNITUDE;[];[]
0;4;LARGEST_MAGNITUDE;[];[]
0;5;LARGEST_MAGNITUDE;[];[]
0;6;LARGEST_MAGNITUDE;[];[]
0;7;LARGEST_MAGNITUDE;[];[]
0;8;LARGEST_MAGNITUDE;[];[]
0;9;LARGEST_MAGNITUDE;[];[]
1;0;LARGEST_MAGNITUDE;[];[]
1;1;LARGEST_MAGNITUDE;[];[]
1;2;LARGEST_MAGNITUDE;[];[]
1;3;LARGEST_MAGNITUDE;[];[]
1;4;LARGEST_MAGNITUDE;[];[]
1;5;LARGEST_MAGNITUDE;[];[]
1;6;LARGEST_MAGNITUDE;[];[]
1;7;LARGEST_MAGNITUDE;[];[]
1;8;LARGEST_MAGNITUDE;[];[]
1;9;LARGEST_MAGNITUDE;[];[]
2;0;LARGEST_MAGNITUDE;[(232029019,1.0000),(231041652,0.4624),(231040120,0.3548),(231043329,0.3082),(231043326,0.2920),(231042680,0.2832),(231039944,0.2294),(231041266,0.1792),(231039973,0.1756),(231043363,0.1756),(232028871,0.1756),(231042102,0.1398),(232028178,0.1167),(231040186,0.1039),(231042126,0.1039),(231040892,0.1039),(232028777,0.0768),(232029392,0.0681),(231039647,0.0681),(232031297,0.0590),(231040276,0.0502),(232029469,0.0502),(232029051,0.0440),(231042208,0.0394),(232030261,0.0394),(231043240,0.0345),(232029979,0.0323),(232028162,0.0323),(232028113,0.0323),(231045873,0.0323),(232030246,0.0323),(232030271,0.0323),(232029370,0.0239),(232028774,0.0222),(231041020,0.0199),(232030650,0.0179),(231042051,0.0161),(265000945,0.0151),(231040800,0.0143),(231042564,0.0082),(232027706,0.0072),(232027475,0.0064),(232028755,0.0060),(232029665,0.0048),(232030405,0.0048),(244075558,0.0041),(232032619,0.0034),(231041284,0.0023),(232030690,0.0000),(231045078,0.0000)];[(232029019,1.0000),(231041652,0.4624),(231040120,0.3548),(231043329,0.3082),(231043326,0.2920)]
