=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;PROB_EXPECTED_VALUE;0.1;171.0;322.0;182.0;31.002508;6.200502;333.0
1;1.0;PROB_EXPECTED_VALUE;0.1;155.0;331.0;150.0;25.295427;5.059086;326.0
2;1.0;PROB_EXPECTED_VALUE;0.1;155.0;317.0;158.0;26.688372;5.3376737;320.0
3;1.0;PROB_EXPECTED_VALUE;0.1;158.0;332.0;173.0;29.880169;5.976033;347.0
4;1.0;PROB_EXPECTED_VALUE;0.1;162.0;311.0;164.0;33.199825;6.6399646;313.0
5;1.0;PROB_EXPECTED_VALUE;0.1;171.0;335.0;171.0;30.22349;6.044698;335.0
6;1.0;PROB_EXPECTED_VALUE;0.1;165.0;325.0;173.0;27.624546;5.5249095;333.0
7;1.0;PROB_EXPECTED_VALUE;0.1;161.0;315.0;166.0;34.076164;6.8152337;320.0
8;1.0;PROB_EXPECTED_VALUE;0.1;174.0;339.0;155.0;28.160696;5.632141;320.0
9;1.0;PROB_EXPECTED_VALUE;0.1;164.0;308.0;163.0;26.171707;5.2343397;307.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;PROB_EXPECTED_VALUE;0.1;169.0;318.0;181.0;29.898565;5.9797134;330.0
1;1.0;PROB_EXPECTED_VALUE;0.1;153.0;329.0;149.0;25.224543;5.044909;325.0
2;1.0;PROB_EXPECTED_VALUE;0.1;153.0;312.0;157.0;26.570091;5.314018;316.0
3;1.0;PROB_EXPECTED_VALUE;0.1;154.0;326.0;170.0;29.670212;5.934042;342.0
4;1.0;PROB_EXPECTED_VALUE;0.1;160.0;309.0;161.0;32.99409;6.598818;310.0
5;1.0;PROB_EXPECTED_VALUE;0.1;169.0;330.0;171.0;29.925999;5.9852;332.0
6;1.0;PROB_EXPECTED_VALUE;0.1;164.0;320.0;172.0;27.5988;5.5197606;328.0
7;1.0;PROB_EXPECTED_VALUE;0.1;160.0;314.0;161.0;34.043907;6.808782;315.0
8;1.0;PROB_EXPECTED_VALUE;0.1;173.0;335.0;154.0;27.447433;5.4894886;316.0
9;1.0;PROB_EXPECTED_VALUE;0.1;161.0;301.0;160.0;25.679628;5.135924;300.0

0;0;PROB_EXPECTED_VALUE;[];[]
0;1;PROB_EXPECTED_VALUE;[];[]
0;2;PROB_EXPECTED_VALUE;[];[]
0;3;PROB_EXPECTED_VALUE;[];[]
0;4;PROB_EXPECTED_VALUE;[];[]
0;5;PROB_EXPECTED_VALUE;[];[]
0;6;PROB_EXPECTED_VALUE;[];[]
0;7;PROB_EXPECTED_VALUE;[];[]
0;8;PROB_EXPECTED_VALUE;[];[]
0;9;PROB_EXPECTED_VALUE;[];[]
1;0;PROB_EXPECTED_VALUE;[];[]
1;1;PROB_EXPECTED_VALUE;[];[]
1;2;PROB_EXPECTED_VALUE;[];[]
1;3;PROB_EXPECTED_VALUE;[];[]
1;4;PROB_EXPECTED_VALUE;[];[]
1;5;PROB_EXPECTED_VALUE;[];[]
1;6;PROB_EXPECTED_VALUE;[];[]
1;7;PROB_EXPECTED_VALUE;[];[]
1;8;PROB_EXPECTED_VALUE;[];[]
1;9;PROB_EXPECTED_VALUE;[];[]
2;0;PROB_EXPECTED_VALUE;[(231043197,0.4723),(232028676,0.0354),(232029057,0.0265),(232028279,0.0977),(232028364,0.0035),(232028340,0.0333),(231043032,0.0731),(232029410,0.2503),(231040654,0.0893),(231040140,0.0794),(231044638,0.1021),(231044735,0.0696),(231040128,0.0136),(231042588,0.0351),(231044351,0.0067),(232029696,0.0039),(231041227,0.0172),(231041212,0.0303),(231041827,0.0253),(231040591,0.0217),(231041632,0.0239),(232029891,0.0049),(232029271,0.0031),(231044554,0.0249),(231040500,0.0072),(232029920,0.0126),(232027475,0.0030),(244075791,0.0024),(231041667,0.0235),(231044842,0.0245),(232031732,0.0302),(232029783,0.0224),(231042157,0.0150),(232027787,0.0151),(232028427,0.0044),(232030232,0.0164),(232028631,0.0022),(232028945,0.0079),(244074910,0.0017),(232029027,0.0018),(232029414,0.0015),(232030133,0.0017),(232028562,0.0036),(232031900,0.0007),(232028200,0.0013),(400000454,0.0001),(232031210,0.0013),(232028043,0.0002),(232030869,0.0000),(232031462,0.0000)];[(231043197,0.4723),(232028676,0.0354),(232029057,0.0265),(232028279,0.0977),(232028364,0.0035)]
2;1;PROB_EXPECTED_VALUE;[(231045273,0.0924),(232028287,0.1301),(231040855,0.0460),(231043275,0.1495),(231045873,0.0169),(232028573,0.0880),(231042010,0.2915),(232030635,0.0150),(231043830,0.1393),(232029509,0.0636),(232027604,0.0339),(231043461,0.0200),(232028156,0.0216),(232031943,0.0262),(231040789,0.0147),(231039887,0.0776),(231044048,0.0498),(231044435,0.0158),(231040840,0.0505),(231040560,0.0512),(231042281,0.0112),(232028917,0.0910),(232030475,0.0680),(231043039,0.0251),(231039863,0.0135),(231042007,0.0078),(232031962,0.0296),(232032453,0.0172),(231040403,0.0114),(231043967,0.0165),(231043583,0.0165),(231041738,0.0436),(231042885,0.0121),(232028815,0.0222),(231040968,0.0205),(232030449,0.0128),(232030423,0.0123),(232031103,0.0154),(232030751,0.0167),(232028296,0.0039),(232028230,0.0033),(231042381,0.0018),(232031361,0.0022),(232029879,0.0047),(232031664,0.0012),(239016104,0.0031),(232028444,0.0008),(232028730,0.0009),(232030795,0.0012),(232032621,0.0000)];[(231045273,0.0924),(232028287,0.1301),(231040855,0.0460),(231043275,0.1495),(231045873,0.0169)]
2;2;PROB_EXPECTED_VALUE;[(231040913,0.0626),(232029753,0.0788),(231041424,0.5123),(231045367,0.0618),(231043151,0.0351),(231044079,0.1055),(231040491,0.3891),(244068557,0.1123),(231040303,0.0096),(231041004,0.1053),(231042602,0.1232),(231040141,0.0842),(231043324,0.0245),(231040093,0.0879),(231040928,0.0453),(231041056,0.0440),(231044075,0.0522),(231044158,0.0145),(232032538,0.0167),(231043090,0.0926),(231040845,0.0778),(231044438,0.0265),(231042174,0.0239),(231039637,0.0717),(231042342,0.0166),(231039842,0.0806),(231041894,0.0083),(231042484,0.0438),(232028621,0.0697),(232031693,0.0285),(231043359,0.0309),(232028667,0.0188),(232031103,0.0149),(231045246,0.0162),(232028901,0.0049),(231041073,0.0351),(231044334,0.0252),(231041982,0.0053),(231042509,0.0155),(232029664,0.0035),(232031230,0.0135),(242108138,0.0138),(232032329,0.0022),(286019173,0.0048),(232030411,0.0009),(231041692,0.0015),(242002585,0.0010),(231041029,0.0008),(232032133,0.0000)];[(231040913,0.0626),(232029753,0.0788),(231041424,0.5123),(231045367,0.0618),(231043151,0.0351)]
2;3;PROB_EXPECTED_VALUE;[(231043326,0.1537),(231039688,0.1078),(232029118,0.0456),(232027918,0.0305),(231042121,0.2649),(231039987,0.0625),(231039958,0.0149),(232032449,0.0387),(231041368,0.0970),(231045565,0.0221),(232032665,0.0168),(231044503,0.0131),(231041821,0.1335),(231040551,0.0155),(231044656,0.0628),(231041224,0.0219),(232031898,0.0014),(231045510,0.0520),(232031691,0.0258),(232028598,0.0170),(232028706,0.0134),(232030249,0.0091),(232029179,0.0129),(232029276,0.0363),(231042143,0.0463),(231041781,0.0172),(231042449,0.0093),(231045004,0.0234),(232028294,0.0185),(232029892,0.0111),(231040500,0.0066),(231042724,0.0159),(232028349,0.0061),(231044267,0.0071),(231042061,0.0072),(290006865,0.0126),(235812936,0.0050),(232029185,0.0164),(281000664,0.0050),(231042052,0.0184),(235812577,0.0038),(231040909,0.0042),(232031070,0.0027),(231041277,0.0008),(232032160,0.0004),(232031751,0.0020),(231045330,0.0006),(232029380,0.0003),(231040102,0.0000),(232031290,0.0000)];[(231043326,0.1537),(231039688,0.1078),(232029118,0.0456),(232027918,0.0305),(231042121,0.2649)]
2;4;PROB_EXPECTED_VALUE;[(231040080,0.4893),(231040779,0.0222),(231040643,0.0517),(232027846,0.0230),(231039730,0.0259),(231041153,0.0860),(232027946,0.0020),(232031277,0.0022),(232028031,0.0135),(232027504,0.0255),(231041590,0.1389),(231043233,0.0449),(232027818,0.0385),(232030808,0.0171),(400008448,0.0153),(231039639,0.0431),(231041924,0.0865),(231040324,0.0080),(291024292,0.0610),(231043650,0.0362),(231045805,0.0124),(242003287,0.0104),(231044161,0.0061),(231041482,0.0016),(232028319,0.0055),(231045192,0.0112),(232030790,0.0053),(261001886,0.0237),(231040069,0.0106),(232031009,0.0118),(232028712,0.0084),(232030415,0.0069),(231043394,0.0256),(231039679,0.0252),(231040955,0.0101),(232029775,0.0146),(232029857,0.0145),(231040766,0.0163),(232029515,0.0073),(232027529,0.0032),(232027439,0.0042),(231045126,0.0073),(242109207,0.0022),(286017526,0.0080),(231040587,0.0073),(400003322,0.0038),(231040359,0.0018),(232027478,0.0008),(232029928,0.0007),(232031667,0.0000)];[(231040080,0.4893),(231040779,0.0222),(231040643,0.0517),(232027846,0.0230),(231039730,0.0259)]
2;5;PROB_EXPECTED_VALUE;[(400007678,0.2432),(231041517,0.3602),(231041813,0.0970),(231039796,0.0540),(245018234,0.0212),(232031300,0.0321),(232029306,0.2521),(231039808,0.0434),(232027993,0.0547),(231045200,0.2870),(232030057,0.0164),(232032287,0.0649),(231043541,0.4088),(231039656,0.0311),(231043622,0.5295),(231040831,0.2069),(400000360,0.0300),(232031020,0.1720),(231041050,0.0506),(231041033,0.0458),(231042100,0.0618),(232030530,0.0033),(231043478,0.0464),(232031566,0.0105),(232028434,0.0181),(231042401,0.0550),(232028858,0.0335),(232031095,0.0054),(231040817,0.0818),(231041765,0.0141),(231044016,0.0165),(400000890,0.0070),(232028425,0.0175),(232027706,0.0037),(231045737,0.0097),(232030129,0.0065),(232029775,0.0172),(232030270,0.0031),(232029081,0.0020),(248016054,0.0031),(232032340,0.0017),(232027807,0.0007),(232032537,0.0003),(245017940,0.0003),(232030747,0.0002),(231041972,0.0000),(232030634,0.0000),(232028437,0.0000),(232029860,0.0000)];[(400007678,0.2432),(231041517,0.3602),(231041813,0.0970),(231039796,0.0540),(245018234,0.0212)]
