=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;PROB_CONV_PROB;0.3;170.0;328.0;190.0;17.214014;3.4428017;348.0
1;1.0;PROB_CONV_PROB;0.3;180.0;340.0;176.0;18.474648;3.6949296;336.0
2;1.0;PROB_CONV_PROB;0.3;165.0;309.0;146.0;12.667815;2.533563;290.0
3;1.0;PROB_CONV_PROB;0.3;164.0;300.0;178.0;17.87378;3.5747557;314.0
4;1.0;PROB_CONV_PROB;0.3;165.0;317.0;175.0;13.13161;2.6263213;327.0
5;1.0;PROB_CONV_PROB;0.3;155.0;313.0;141.0;12.869939;2.5739872;299.0
6;1.0;PROB_CONV_PROB;0.3;163.0;336.0;160.0;13.524452;2.7048903;333.0
7;1.0;PROB_CONV_PROB;0.3;156.0;329.0;169.0;14.002151;2.80043;342.0
8;1.0;PROB_CONV_PROB;0.3;168.0;312.0;175.0;16.425909;3.2851818;319.0
9;1.0;PROB_CONV_PROB;0.3;171.0;346.0;171.0;21.890676;4.3781357;346.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;PROB_CONV_PROB;0.3;167.0;323.0;187.0;17.13559;3.4271169;343.0
1;1.0;PROB_CONV_PROB;0.3;177.0;335.0;174.0;18.300766;3.6601532;332.0
2;1.0;PROB_CONV_PROB;0.3;163.0;304.0;145.0;12.574625;2.514925;286.0
3;1.0;PROB_CONV_PROB;0.3;162.0;297.0;178.0;17.81751;3.563502;313.0
4;1.0;PROB_CONV_PROB;0.3;161.0;312.0;170.0;12.661269;2.5322533;321.0
5;1.0;PROB_CONV_PROB;0.3;153.0;308.0;141.0;12.72969;2.5459375;296.0
6;1.0;PROB_CONV_PROB;0.3;160.0;332.0;157.0;13.205466;2.641093;329.0
7;1.0;PROB_CONV_PROB;0.3;154.0;326.0;168.0;13.924577;2.7849154;340.0
8;1.0;PROB_CONV_PROB;0.3;166.0;307.0;173.0;16.392576;3.278515;314.0
9;1.0;PROB_CONV_PROB;0.3;167.0;337.0;170.0;21.79322;4.3586445;340.0

0;0;PROB_CONV_PROB;[];[]
0;1;PROB_CONV_PROB;[];[]
0;2;PROB_CONV_PROB;[];[]
0;3;PROB_CONV_PROB;[];[]
0;4;PROB_CONV_PROB;[];[]
0;5;PROB_CONV_PROB;[];[]
0;6;PROB_CONV_PROB;[];[]
0;7;PROB_CONV_PROB;[];[]
0;8;PROB_CONV_PROB;[];[]
0;9;PROB_CONV_PROB;[];[]
1;0;PROB_CONV_PROB;[];[]
1;1;PROB_CONV_PROB;[];[]
1;2;PROB_CONV_PROB;[];[]
1;3;PROB_CONV_PROB;[];[]
1;4;PROB_CONV_PROB;[];[]
1;5;PROB_CONV_PROB;[];[]
1;6;PROB_CONV_PROB;[];[]
1;7;PROB_CONV_PROB;[];[]
1;8;PROB_CONV_PROB;[];[]
1;9;PROB_CONV_PROB;[];[]
2;0;PROB_CONV_PROB;[(231045543,0.3481),(232029623,0.4056),(231043270,0.3527),(231040885,0.4916),(231044357,0.5903),(231039939,0.4781),(231045764,0.4212),(232031723,0.5789),(231042518,0.5502),(231043907,0.3640),(232027814,0.4841),(232027638,0.3493),(231042816,0.4297),(232029010,0.3957),(232031809,0.4432),(232030776,0.6337),(232027820,0.5526),(231041577,0.3843),(232028407,0.4805),(231044381,0.4756),(232029231,0.3825),(232028825,0.4162),(232030585,0.3866),(231041689,0.4504),(232030127,0.5399),(231044438,0.4875),(244074872,0.5483),(232030067,0.4599),(232031597,0.5731),(231039707,0.4839),(232027549,0.4080),(231042349,0.4530),(232028563,0.4740),(231045070,0.5736),(242109256,0.5652),(248018913,0.4394),(231040095,0.4799),(231044160,0.4278),(231043551,0.6127),(232029394,0.6296),(239015791,0.6037),(297102727,0.5558),(231041512,0.5762),(231043173,0.5463),(232028041,0.3809),(232032044,0.4365),(232029179,0.5257),(232028850,0.5498),(232028079,0.3473),(232028303,0.5050)];[(231045543,0.3481),(232029623,0.4056),(231043270,0.3527),(231040885,0.4916),(231044357,0.5903)]
2;1;PROB_CONV_PROB;[(232027589,0.4323),(231042150,0.4314),(232027610,0.6119),(232028076,0.3445),(232032505,0.6122),(231041570,0.4152),(232029968,0.5510),(232030922,0.3521),(232029613,0.4012),(231044177,0.3439),(232029486,0.6105),(231040818,0.6205),(232031358,0.4897),(231040133,0.3702),(235813272,0.3832),(232031646,0.5594),(242002966,0.4666),(232031240,0.5732),(232031017,0.4328),(255003854,0.5532),(232028327,0.6366),(232029857,0.4940),(232028873,0.4718),(231039820,0.5986),(231043378,0.4846),(231042011,0.4558),(232030004,0.5163),(232031366,0.5882),(231045228,0.3799),(231042517,0.6339),(232027972,0.5490),(232030828,0.3467),(232032124,0.5987),(232028963,0.4231),(231044438,0.4752),(231040324,0.6005),(231040971,0.4181),(231042621,0.5611),(232030567,0.4097),(231043214,0.6250),(232028603,0.5582),(232030663,0.5232),(231045860,0.5635),(232029027,0.5376),(232028937,0.4997),(232031599,0.5874),(232029686,0.3695),(231042572,0.4064),(232029373,0.5047)];[(232027589,0.4323),(231042150,0.4314),(232027610,0.6119),(232028076,0.3445),(232032505,0.6122)]
2;2;PROB_CONV_PROB;[(232028220,0.6179),(231041612,0.5151),(232029680,0.4266),(231040235,0.4802),(231040743,0.3557),(232027735,0.5221),(232027456,0.3523),(231042472,0.6247),(232029282,0.4523),(232029721,0.6254),(231041371,0.5459),(231041070,0.4186),(400009643,0.5321),(231041059,0.3603),(231039801,0.4970),(232031532,0.3448),(242109280,0.4048),(231043031,0.3888),(244075246,0.4946),(231041121,0.3933),(232027750,0.4935),(231041742,0.3625),(231042538,0.4085),(231041522,0.3626),(231040212,0.4044),(232029430,0.3591),(232029004,0.5567),(231039832,0.5117),(265000725,0.4979),(231040173,0.4206),(231044690,0.4392),(231040905,0.5972),(232028989,0.4994),(231043787,0.3692),(232027790,0.5039),(231042527,0.4621),(232032041,0.4852),(232030616,0.4441),(231045423,0.3625),(232029664,0.5063),(244069659,0.5725),(232029017,0.6055),(231043663,0.4417),(232029880,0.3996),(232029579,0.4029),(232032743,0.4251),(231043171,0.5037),(231041903,0.4814),(231040616,0.4061),(231043858,0.4211)];[(232028220,0.6179),(231041612,0.5151),(232029680,0.4266),(231040235,0.4802),(231040743,0.3557)]
