=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;PROB_MAGNITUDE;0.1;173.0;296.0;153.0;31.758787;6.351757;276.0
1;1.0;PROB_MAGNITUDE;0.1;171.0;315.0;191.0;33.258797;6.651759;335.0
2;1.0;PROB_MAGNITUDE;0.1;169.0;329.0;177.0;25.785225;5.1570454;337.0
3;1.0;PROB_MAGNITUDE;0.1;159.0;315.0;156.0;29.03278;5.806557;312.0
4;1.0;PROB_MAGNITUDE;0.1;161.0;353.0;147.0;29.5088;5.901758;339.0
5;1.0;PROB_MAGNITUDE;0.1;173.0;354.0;166.0;27.936598;5.5873184;347.0
6;1.0;PROB_MAGNITUDE;0.1;175.0;312.0;174.0;30.13804;6.027607;311.0
7;1.0;PROB_MAGNITUDE;0.1;163.0;334.0;165.0;31.258907;6.251781;336.0
8;1.0;PROB_MAGNITUDE;0.1;167.0;324.0;163.0;34.364132;6.872824;320.0
9;1.0;PROB_MAGNITUDE;0.1;153.0;320.0;169.0;26.960146;5.392028;336.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;PROB_MAGNITUDE;0.1;171.0;294.0;150.0;30.420528;6.0841055;273.0
1;1.0;PROB_MAGNITUDE;0.1;167.0;313.0;187.0;32.75342;6.550684;333.0
2;1.0;PROB_MAGNITUDE;0.1;167.0;325.0;175.0;25.290602;5.0581207;333.0
3;1.0;PROB_MAGNITUDE;0.1;158.0;311.0;156.0;28.717367;5.743475;309.0
4;1.0;PROB_MAGNITUDE;0.1;158.0;351.0;143.0;29.336758;5.8673496;336.0
5;1.0;PROB_MAGNITUDE;0.1;173.0;349.0;165.0;27.936598;5.5873184;341.0
6;1.0;PROB_MAGNITUDE;0.1;174.0;307.0;173.0;29.939116;5.987822;306.0
7;1.0;PROB_MAGNITUDE;0.1;160.0;329.0;160.0;31.107319;6.221463;329.0
8;1.0;PROB_MAGNITUDE;0.1;166.0;321.0;160.0;33.65087;6.7301717;315.0
9;1.0;PROB_MAGNITUDE;0.1;151.0;318.0;165.0;26.851135;5.370226;332.0

0;0;PROB_MAGNITUDE;[];[]
0;1;PROB_MAGNITUDE;[];[]
0;2;PROB_MAGNITUDE;[];[]
0;3;PROB_MAGNITUDE;[];[]
0;4;PROB_MAGNITUDE;[];[]
0;5;PROB_MAGNITUDE;[];[]
0;6;PROB_MAGNITUDE;[];[]
0;7;PROB_MAGNITUDE;[];[]
0;8;PROB_MAGNITUDE;[];[]
0;9;PROB_MAGNITUDE;[];[]
1;0;PROB_MAGNITUDE;[];[]
1;1;PROB_MAGNITUDE;[];[]
1;2;PROB_MAGNITUDE;[];[]
1;3;PROB_MAGNITUDE;[];[]
1;4;PROB_MAGNITUDE;[];[]
1;5;PROB_MAGNITUDE;[];[]
1;6;PROB_MAGNITUDE;[];[]
1;7;PROB_MAGNITUDE;[];[]
1;8;PROB_MAGNITUDE;[];[]
1;9;PROB_MAGNITUDE;[];[]
2;0;PROB_MAGNITUDE;[(231045334,0.8925),(231045367,0.1158),(231042484,0.0860),(231045084,0.3369),(232029753,0.1756),(231041424,1.0000),(231040845,0.1756),(231040491,0.8029),(231041004,0.2115),(231040141,0.1756),(231041991,0.1017),(231044079,0.2115),(231043090,0.1756),(231040303,0.0179),(231039842,0.1756),(231040913,0.1254),(231039832,0.2975),(232028621,0.1541),(231043359,0.0681),(231039637,0.1577),(231040928,0.0860),(231041982,0.0118),(231043151,0.0792),(231044656,0.1398),(231040519,0.1039),(231045246,0.0324),(231041056,0.0996),(231044438,0.0502),(232031230,0.0263),(231043324,0.0502),(232031693,0.0590),(231041073,0.0681),(231042174,0.0502),(231044075,0.1039),(231042509,0.0323),(232030380,0.0251),(242108138,0.0278),(231044158,0.0323),(232031103,0.0323),(242108731,0.0330),(231043181,0.0196),(231042342,0.0334),(231044334,0.0502),(286019173,0.0108),(231041894,0.0167),(242002585,0.0021),(232028901,0.0101),(232032329,0.0043),(231041029,0.0014),(232032133,0.0000)];[(231045334,0.8925),(231045367,0.1158),(231042484,0.0860),(231045084,0.3369),(232029753,0.1756)]
